"Farm","cowid","Event","Days_In_Milk","Event_Date","Recode_Protos"
38,1420,"NO_LESION",195,2023-09-18,"Trim Only"
38,1991,"NO_LESION",83,2023-09-07,"Trim Only"
38,3048,"NO_LESION",68,2023-07-17,"Trim Only"
38,3062,"NO_LESION",95,2023-08-14,"Trim Only"
38,6732,"LAME",112,2022-12-12,"SoleUlcer"
38,6732,"NO_LESION",196,2023-03-06,"Trim Only"
38,6761,"LAME",319,2022-10-31,"ThinSole"
38,6761,"NO_LESION",101,2023-05-01,"Trim Only"
38,6761,"NO_LESION",213,2023-08-21,"Trim Only"
38,6982,"NO_LESION",362,2022-10-10,"Trim Only"
38,6982,"NO_LESION",105,2023-04-10,"Trim Only"
38,6982,"NO_LESION",203,2023-07-17,"Trim Only"
38,6982,"NO_LESION",266,2023-09-18,"Trim Only"
38,7170,"NO_LESION",136,2022-10-10,"Trim Only"
38,7227,"NO_LESION",119,2023-01-23,"Trim Only"
38,7227,"NO_LESION",196,2023-04-10,"Trim Only"
38,7227,"NO_LESION",350,2023-09-11,"Trim Only"
38,7290,"NO_LESION",304,2022-11-21,"Trim Only"
38,7315,"LAME",284,2022-10-31,"WhiteLineDisease"
38,7315,"LAME",94,2023-04-10,"SoleUlcer"
38,7372,"NO_LESION",104,2023-03-20,"Trim Only"
38,7372,"LAME",188,2023-06-12,"SoleUlcer"
38,7392,"NO_LESION",293,2022-11-21,"Trim Only"
38,7499,"NO_LESION",126,2022-12-12,"Trim Only"
38,7499,"NO_LESION",203,2023-02-27,"Trim Only"
38,7499,"LAME",280,2023-05-15,"SoleUlcer"
38,7499,"NO_LESION",17,2023-08-07,"Trim Only"
38,7503,"LAME",283,2022-11-21,"ToeUlcer"
38,7551,"LAME",119,2022-10-31,"WhiteLineDisease"
38,7573,"LAME",120,2023-01-02,"ToeUlcer"
38,7573,"NO_LESION",197,2023-03-20,"Trim Only"
38,7573,"NO_LESION",305,2023-07-06,"Trim Only"
38,7598,"NO_LESION",127,2022-10-31,"Trim Only"
38,7606,"NO_LESION",121,2022-11-07,"Trim Only"
38,7617,"NO_LESION",104,2023-02-27,"Trim Only"
38,7617,"NO_LESION",202,2023-06-05,"Trim Only"
38,7617,"NO_LESION",321,2023-10-02,"Trim Only"
38,7623,"NO_LESION",265,2022-12-12,"Trim Only"
38,7625,"NO_LESION",109,2023-01-02,"Trim Only"
38,7651,"NO_LESION",213,2023-03-06,"Trim Only"
38,7651,"NO_LESION",304,2023-06-05,"Trim Only"
38,7651,"LAME",402,2023-09-11,"ThinSole"
38,7667,"LAME",111,2023-02-20,"SoleUlcer"
38,7695,"NO_LESION",310,2023-01-02,"Trim Only"
38,7695,"NO_LESION",102,2023-07-06,"Trim Only"
38,7695,"NO_LESION",204,2023-10-16,"Trim Only"
38,7714,"NO_LESION",114,2023-01-23,"Trim Only"
38,7714,"NO_LESION",212,2023-05-01,"Trim Only"
38,7714,"NO_LESION",278,2023-07-06,"Trim Only"
38,7723,"NO_LESION",120,2022-12-12,"Trim Only"
38,7723,"NO_LESION",204,2023-03-06,"Trim Only"
38,7723,"NO_LESION",337,2023-07-17,"Trim Only"
38,7761,"NO_LESION",119,2022-11-07,"Trim Only"
38,7761,"NO_LESION",294,2023-05-01,"Trim Only"
38,7774,"NO_LESION",119,2023-01-02,"Trim Only"
38,7774,"NO_LESION",196,2023-03-20,"Trim Only"
38,7774,"NO_LESION",350,2023-08-21,"Trim Only"
38,7774,"LAME",420,2023-10-30,"WhiteLineDisease"
38,7780,"LAME",277,2022-10-31,"ThinSole"
38,7780,"LAME",106,2023-05-01,"WhiteLineDisease"
38,7780,"NO_LESION",204,2023-08-07,"Trim Only"
38,7780,"NO_LESION",274,2023-10-16,"Trim Only"
38,7784,"NO_LESION",186,2023-06-12,"Trim Only"
38,7805,"NO_LESION",371,2022-10-31,"Trim Only"
38,7805,"NO_LESION",103,2023-05-01,"Trim Only"
38,7805,"LAME",201,2023-08-07,"ThinSole"
38,7807,"NO_LESION",429,2022-11-07,"Trim Only"
38,7807,"LAME",70,2023-04-10,"WhiteLineDisease"
38,7807,"LAME",98,2023-05-08,"DigitalDermatitis"
38,7810,"NO_LESION",119,2022-11-07,"Trim Only"
38,7814,"NO_LESION",264,2023-01-23,"Trim Only"
38,7814,"NO_LESION",98,2023-07-17,"Trim Only"
38,7814,"NO_LESION",203,2023-10-30,"Trim Only"
38,7849,"NO_LESION",133,2022-10-10,"Trim Only"
38,7849,"LAME",147,2022-10-24,"Hemorrhage"
38,7850,"NO_LESION",117,2023-01-23,"Trim Only"
38,7850,"NO_LESION",194,2023-04-10,"Trim Only"
38,7850,"LAME",327,2023-08-21,"Hemorrhage"
38,7857,"NO_LESION",122,2023-01-23,"Trim Only"
38,7857,"LAME",199,2023-04-10,"SoleUlcer"
38,7857,"LAME",262,2023-06-12,"SoleUlcer"
38,7857,"LAME",28,2023-10-09,"SoleUlcer"
38,7878,"NO_LESION",338,2022-11-21,"Trim Only"
38,7878,"NO_LESION",114,2023-06-01,"Trim Only"
38,7878,"NO_LESION",195,2023-08-21,"Trim Only"
38,7881,"NO_LESION",122,2023-01-23,"Trim Only"
38,7881,"NO_LESION",199,2023-04-10,"Trim Only"
38,7881,"LAME",262,2023-06-12,"Hemorrhage"
38,7890,"NO_LESION",127,2022-10-24,"Trim Only"
38,7894,"NO_LESION",447,2023-04-10,"Trim Only"
38,7894,"NO_LESION",105,2023-10-16,"Trim Only"
38,7900,"NO_LESION",295,2022-10-10,"Trim Only"
38,7900,"NO_LESION",98,2023-04-10,"Trim Only"
38,7900,"NO_LESION",196,2023-07-17,"Trim Only"
38,7906,"LAME",161,2022-10-24,"SoleUlcer"
38,7929,"NO_LESION",110,2023-01-23,"Trim Only"
38,7929,"NO_LESION",208,2023-05-01,"Trim Only"
38,7929,"NO_LESION",306,2023-08-07,"Trim Only"
38,7929,"LAME",362,2023-10-02,"FootRot"
38,7961,"NO_LESION",379,2023-03-20,"Trim Only"
38,7961,"NO_LESION",103,2023-10-09,"Trim Only"
38,8010,"NO_LESION",304,2022-12-12,"Trim Only"
38,8012,"NO_LESION",120,2023-01-23,"Trim Only"
38,8012,"NO_LESION",197,2023-04-10,"Trim Only"
38,8012,"NO_LESION",351,2023-09-11,"Trim Only"
38,8022,"NO_LESION",117,2022-11-21,"Trim Only"
38,8030,"NO_LESION",347,2023-01-23,"Trim Only"
38,8030,"LAME",98,2023-07-17,"DigitalDermatitis"
38,8030,"NO_LESION",210,2023-11-06,"Trim Only"
38,8036,"NO_LESION",117,2022-11-21,"Trim Only"
38,8036,"NO_LESION",201,2023-02-13,"Trim Only"
38,8036,"NO_LESION",285,2023-05-08,"Trim Only"
38,8036,"NO_LESION",94,2023-10-16,"Trim Only"
38,8055,"NO_LESION",309,2022-10-31,"Trim Only"
38,8075,"NO_LESION",128,2023-01-23,"Trim Only"
38,8075,"NO_LESION",205,2023-04-10,"Trim Only"
38,8102,"NO_LESION",108,2023-02-20,"Trim Only"
38,8102,"NO_LESION",199,2023-05-22,"Trim Only"
38,8103,"NO_LESION",277,2022-11-21,"Trim Only"
38,8103,"NO_LESION",93,2023-05-08,"Trim Only"
38,8103,"NO_LESION",198,2023-08-21,"Trim Only"
38,8127,"NO_LESION",193,2023-05-08,"Trim Only"
38,8137,"NO_LESION",310,2022-10-31,"Trim Only"
38,8137,"NO_LESION",102,2023-05-01,"Trim Only"
38,8137,"NO_LESION",200,2023-08-07,"Trim Only"
38,8144,"NO_LESION",300,2022-10-31,"Trim Only"
38,8144,"NO_LESION",97,2023-04-10,"Trim Only"
38,8144,"NO_LESION",195,2023-07-17,"Trim Only"
38,8151,"NO_LESION",301,2022-10-31,"Trim Only"
38,8151,"LAME",93,2023-04-10,"Hemorrhage"
38,8161,"NO_LESION",360,2023-03-20,"Trim Only"
38,8161,"NO_LESION",102,2023-09-18,"Trim Only"
38,8162,"NO_LESION",343,2023-01-23,"Trim Only"
38,8162,"NO_LESION",100,2023-07-17,"Trim Only"
38,8162,"NO_LESION",205,2023-10-30,"Trim Only"
38,8167,"NO_LESION",353,2022-10-10,"Trim Only"
38,8167,"NO_LESION",88,2023-03-20,"Trim Only"
38,8167,"NO_LESION",196,2023-07-06,"Trim Only"
38,8167,"NO_LESION",270,2023-09-18,"Trim Only"
38,8183,"NO_LESION",134,2022-10-10,"Trim Only"
38,8183,"NO_LESION",316,2023-04-10,"Trim Only"
38,8183,"NO_LESION",102,2023-10-02,"Trim Only"
38,8212,"NO_LESION",297,2023-01-23,"Trim Only"
38,8213,"NO_LESION",106,2023-03-06,"Trim Only"
38,8213,"NO_LESION",197,2023-06-05,"Trim Only"
38,8213,"NO_LESION",302,2023-09-18,"Trim Only"
38,8228,"NO_LESION",114,2023-01-02,"Trim Only"
38,8229,"NO_LESION",264,2023-07-17,"Trim Only"
38,8234,"NO_LESION",261,2022-11-21,"Trim Only"
38,8244,"NO_LESION",287,2022-12-12,"Trim Only"
38,8244,"LAME",100,2023-06-05,"SoleUlcer"
38,8244,"LAME",205,2023-09-18,"SoleUlcer"
38,8247,"NO_LESION",118,2022-11-21,"Trim Only"
38,8247,"NO_LESION",202,2023-02-13,"Trim Only"
38,8247,"NO_LESION",314,2023-06-05,"Trim Only"
38,8254,"NO_LESION",276,2022-10-31,"Trim Only"
38,8254,"NO_LESION",112,2023-05-01,"Trim Only"
38,8254,"NO_LESION",210,2023-08-07,"Trim Only"
38,8254,"NO_LESION",266,2023-10-02,"Trim Only"
38,8260,"NO_LESION",110,2022-10-03,"Trim Only"
38,8260,"NO_LESION",301,2023-04-12,"Trim Only"
38,8260,"NO_LESION",100,2023-09-18,"Trim Only"
38,8273,"NO_LESION",120,2022-11-07,"Trim Only"
38,8281,"NO_LESION",117,2023-01-23,"Trim Only"
38,8285,"NO_LESION",305,2023-01-02,"Trim Only"
38,8285,"LAME",107,2023-07-06,"DigitalDermatitis"
38,8285,"NO_LESION",195,2023-10-02,"Trim Only"
38,8302,"NO_LESION",368,2023-05-01,"Trim Only"
38,8306,"NO_LESION",125,2022-10-24,"Trim Only"
38,8306,"LAME",139,2022-11-07,"WhiteLineDisease"
38,8306,"LAME",363,2023-06-19,"ToeUlcer"
38,8306,"LAME",4,2023-09-11,"ToeUlcer"
38,8307,"LAME",123,2022-12-12,"DigitalDermatitis"
38,8309,"NO_LESION",95,2023-02-13,"Trim Only"
38,8309,"NO_LESION",203,2023-06-01,"Trim Only"
38,8310,"NO_LESION",128,2022-10-31,"Trim Only"
38,8310,"NO_LESION",317,2023-05-08,"Trim Only"
38,8310,"NO_LESION",103,2023-10-30,"Trim Only"
38,8316,"NO_LESION",276,2022-10-31,"Trim Only"
38,8316,"NO_LESION",112,2023-05-01,"Trim Only"
38,8317,"NO_LESION",129,2023-01-23,"Trim Only"
38,8317,"NO_LESION",206,2023-04-10,"Trim Only"
38,8317,"NO_LESION",269,2023-06-12,"Trim Only"
38,8318,"NO_LESION",340,2023-05-01,"Trim Only"
38,8318,"NO_LESION",99,2023-10-16,"Trim Only"
38,8325,"NO_LESION",341,2023-02-13,"Trim Only"
38,8326,"NO_LESION",336,2023-02-13,"Trim Only"
38,8328,"NO_LESION",263,2022-10-24,"Trim Only"
38,8331,"NO_LESION",128,2022-10-31,"Trim Only"
38,8335,"NO_LESION",289,2023-02-13,"Trim Only"
38,8335,"NO_LESION",110,2023-08-14,"Trim Only"
38,8345,"NO_LESION",123,2023-01-02,"Trim Only"
38,8345,"NO_LESION",200,2023-03-20,"Trim Only"
38,8345,"NO_LESION",308,2023-07-06,"Trim Only"
38,8351,"NO_LESION",359,2023-03-20,"Trim Only"
38,8351,"NO_LESION",112,2023-09-25,"Trim Only"
38,8352,"NO_LESION",263,2022-12-12,"Trim Only"
38,8352,"NO_LESION",95,2023-06-05,"Trim Only"
38,8352,"LAME",200,2023-09-18,"WhiteLineDisease"
38,8368,"NO_LESION",118,2022-11-21,"Trim Only"
38,8368,"NO_LESION",202,2023-02-13,"Trim Only"
38,8368,"NO_LESION",310,2023-06-01,"Trim Only"
38,8374,"LAME",128,2023-01-02,"WhiteLineDisease"
38,8389,"NO_LESION",294,2023-03-06,"Trim Only"
38,8389,"NO_LESION",392,2023-06-12,"Trim Only"
38,8397,"NO_LESION",123,2022-12-12,"Trim Only"
38,8397,"NO_LESION",200,2023-02-27,"Trim Only"
38,8397,"NO_LESION",100,2023-10-30,"Trim Only"
38,8399,"NO_LESION",302,2023-03-06,"Trim Only"
38,8417,"LAME",342,2023-03-27,"ToeUlcer"
38,8424,"NO_LESION",290,2022-12-12,"Trim Only"
38,8431,"NO_LESION",117,2022-12-12,"Trim Only"
38,8431,"NO_LESION",201,2023-03-06,"Trim Only"
38,8431,"NO_LESION",369,2023-08-21,"Trim Only"
38,8437,"LAME",114,2023-01-02,"Hemorrhage"
38,8437,"LAME",191,2023-03-20,"ThinSole"
38,8437,"NO_LESION",299,2023-07-06,"Trim Only"
38,8439,"NO_LESION",364,2023-04-10,"Trim Only"
38,8440,"NO_LESION",45,2022-10-24,"Trim Only"
38,8449,"NO_LESION",93,2023-03-20,"Trim Only"
38,8449,"NO_LESION",201,2023-07-06,"Trim Only"
38,8451,"NO_LESION",127,2023-01-02,"Trim Only"
38,8451,"NO_LESION",204,2023-03-20,"Trim Only"
38,8466,"NO_LESION",111,2022-10-03,"Trim Only"
38,8466,"NO_LESION",302,2023-04-12,"Trim Only"
38,8466,"NO_LESION",426,2023-08-14,"Trim Only"
38,8473,"NO_LESION",196,2023-05-08,"Trim Only"
38,8473,"NO_LESION",266,2023-07-17,"Trim Only"
38,8483,"NO_LESION",194,2023-04-24,"Trim Only"
38,8483,"NO_LESION",285,2023-07-24,"Trim Only"
38,8484,"NO_LESION",119,2022-11-21,"Trim Only"
38,8484,"NO_LESION",203,2023-02-13,"Trim Only"
38,8488,"NO_LESION",125,2022-10-10,"Trim Only"
38,8490,"NO_LESION",118,2022-11-07,"Trim Only"
38,8490,"NO_LESION",272,2023-04-10,"Trim Only"
38,8490,"NO_LESION",100,2023-10-09,"Trim Only"
38,8501,"NO_LESION",121,2022-11-21,"Trim Only"
38,8502,"LAME",458,2023-06-01,"Other"
38,8514,"LAME",53,2022-10-24,"SoleUlcer"
38,8518,"NO_LESION",274,2023-01-02,"Trim Only"
38,8520,"NO_LESION",211,2023-05-15,"Trim Only"
38,8520,"NO_LESION",316,2023-08-28,"Trim Only"
38,8521,"LAME",94,2023-01-17,"DigitalDermatitis"
38,8526,"LAME",125,2023-01-23,"ThinSole"
38,8526,"NO_LESION",202,2023-04-10,"Trim Only"
38,8526,"NO_LESION",265,2023-06-12,"Trim Only"
38,8534,"NO_LESION",110,2023-02-20,"Trim Only"
38,8534,"NO_LESION",201,2023-05-22,"Trim Only"
38,8540,"NO_LESION",403,2023-01-02,"Trim Only"
38,8540,"NO_LESION",106,2023-07-17,"Trim Only"
38,8540,"NO_LESION",197,2023-10-16,"Trim Only"
38,8544,"NO_LESION",116,2022-12-12,"Trim Only"
38,8544,"NO_LESION",200,2023-03-06,"Trim Only"
38,8544,"NO_LESION",287,2023-06-01,"Trim Only"
38,8553,"NO_LESION",117,2023-01-23,"Trim Only"
38,8553,"NO_LESION",194,2023-04-10,"Trim Only"
38,8563,"LAME",132,2022-10-10,"ThinSole"
38,8563,"NO_LESION",293,2023-03-20,"Trim Only"
38,8563,"NO_LESION",377,2023-06-12,"Trim Only"
38,8577,"NO_LESION",112,2022-12-12,"Trim Only"
38,8577,"NO_LESION",196,2023-03-06,"Trim Only"
38,8577,"LAME",294,2023-06-12,"Hemorrhage"
38,8582,"NO_LESION",197,2023-05-08,"Trim Only"
38,8582,"NO_LESION",323,2023-09-11,"Trim Only"
38,8583,"NO_LESION",280,2023-01-02,"Trim Only"
38,8583,"LAME",104,2023-07-17,"Other"
38,8583,"LAME",195,2023-10-16,"DigitalDermatitis"
38,8592,"NO_LESION",372,2022-11-21,"Trim Only"
38,8592,"NO_LESION",96,2023-05-08,"Trim Only"
38,8592,"NO_LESION",201,2023-08-21,"Trim Only"
38,8604,"NO_LESION",122,2022-11-07,"Trim Only"
38,8604,"NO_LESION",297,2023-05-01,"Trim Only"
38,8604,"LAME",48,2023-08-28,"SoleUlcer"
38,8604,"LAME",90,2023-10-09,"WhiteLineDisease"
38,8605,"NO_LESION",206,2023-05-01,"Trim Only"
38,8605,"LAME",272,2023-07-06,"Hemorrhage"
38,8605,"LAME",24,2023-10-16,"WhiteLineDisease"
38,8611,"NO_LESION",132,2022-11-28,"Trim Only"
38,8611,"NO_LESION",279,2023-04-24,"Trim Only"
38,8616,"NO_LESION",110,2022-11-21,"Trim Only"
38,8616,"NO_LESION",194,2023-02-13,"Trim Only"
38,8616,"NO_LESION",337,2023-07-06,"Trim Only"
38,8619,"NO_LESION",283,2022-12-12,"Trim Only"
38,8624,"LAME",297,2022-10-24,"WhiteLineDisease"
38,8624,"NO_LESION",356,2022-12-22,"Trim Only"
38,8624,"NO_LESION",96,2023-06-05,"Trim Only"
38,8624,"LAME",201,2023-09-18,"SoleUlcer"
38,8628,"NO_LESION",106,2023-03-06,"Trim Only"
38,8632,"NO_LESION",356,2023-01-02,"Trim Only"
38,8632,"NO_LESION",102,2023-07-06,"Trim Only"
38,8632,"LAME",204,2023-10-16,"SoleUlcer"
38,8638,"NO_LESION",310,2023-03-06,"Trim Only"
38,8638,"LAME",97,2023-08-21,"ToeUlcer"
38,8640,"LAME",5,2022-11-07,"ToeUlcer"
38,8640,"LAME",110,2023-02-20,"ToeUlcer"
38,8640,"NO_LESION",201,2023-05-22,"Trim Only"
38,8640,"LAME",341,2023-10-09,"WhiteLineDisease"
38,8643,"NO_LESION",216,2023-06-01,"Trim Only"
38,8643,"NO_LESION",318,2023-09-11,"Trim Only"
38,8652,"NO_LESION",28,2022-11-07,"Trim Only"
38,8652,"NO_LESION",196,2023-04-24,"Trim Only"
38,8664,"NO_LESION",114,2023-01-23,"Trim Only"
38,8664,"NO_LESION",212,2023-05-01,"Trim Only"
38,8668,"NO_LESION",98,2023-02-13,"Trim Only"
38,8668,"LAME",206,2023-06-01,"SoleUlcer"
38,8668,"NO_LESION",273,2023-08-07,"Trim Only"
38,8676,"NO_LESION",316,2023-03-20,"Trim Only"
38,8676,"NO_LESION",108,2023-09-11,"Trim Only"
38,8682,"NO_LESION",273,2022-10-10,"Trim Only"
38,8682,"NO_LESION",98,2023-04-10,"Trim Only"
38,8682,"NO_LESION",196,2023-07-17,"Trim Only"
38,8700,"LAME",109,2023-01-23,"WhiteLineDisease"
38,8700,"LAME",207,2023-05-01,"ToeUlcer"
38,8701,"NO_LESION",313,2022-10-10,"Trim Only"
38,8701,"NO_LESION",99,2023-04-10,"Trim Only"
38,8701,"NO_LESION",197,2023-07-17,"Trim Only"
38,8701,"NO_LESION",288,2023-10-16,"Trim Only"
38,8704,"NO_LESION",103,2023-03-06,"Trim Only"
38,8704,"NO_LESION",194,2023-06-05,"Trim Only"
38,8704,"NO_LESION",271,2023-08-21,"Trim Only"
38,8707,"LAME",113,2023-02-20,"SoleUlcer"
38,8707,"LAME",204,2023-05-22,"ToeUlcer"
38,8707,"NO_LESION",344,2023-10-09,"Trim Only"
38,8717,"NO_LESION",271,2023-02-13,"Trim Only"
38,8717,"LAME",119,2023-08-28,"ToeUlcer"
38,8718,"NO_LESION",110,2023-01-02,"Trim Only"
38,8720,"NO_LESION",128,2022-10-31,"Trim Only"
38,8720,"NO_LESION",310,2023-05-01,"Trim Only"
38,8720,"NO_LESION",408,2023-08-07,"Trim Only"
38,8722,"NO_LESION",304,2023-03-06,"Trim Only"
38,8722,"LAME",96,2023-08-21,"Hemorrhage"
38,8724,"NO_LESION",106,2023-02-27,"Trim Only"
38,8724,"NO_LESION",204,2023-06-05,"Trim Only"
38,8729,"NO_LESION",207,2023-05-15,"Trim Only"
38,8729,"NO_LESION",298,2023-08-14,"Trim Only"
38,8730,"NO_LESION",373,2023-01-02,"Trim Only"
38,8730,"NO_LESION",107,2023-07-06,"Trim Only"
38,8730,"NO_LESION",195,2023-10-02,"Trim Only"
38,8734,"NO_LESION",121,2022-11-07,"Trim Only"
38,8734,"NO_LESION",296,2023-05-01,"Trim Only"
38,8734,"LAME",87,2023-10-02,"WhiteLineDisease"
38,8740,"NO_LESION",107,2023-03-27,"Trim Only"
38,8740,"LAME",212,2023-07-10,"DigitalDermatitis"
38,8740,"NO_LESION",282,2023-09-18,"Trim Only"
38,8744,"NO_LESION",277,2022-11-21,"Trim Only"
38,8745,"NO_LESION",336,2022-10-31,"Trim Only"
38,8745,"NO_LESION",102,2023-05-01,"Trim Only"
38,8745,"NO_LESION",200,2023-08-07,"Trim Only"
38,8745,"NO_LESION",270,2023-10-16,"Trim Only"
38,8748,"NO_LESION",308,2022-12-12,"Trim Only"
38,8748,"NO_LESION",88,2023-06-12,"Trim Only"
38,8748,"NO_LESION",200,2023-10-02,"Trim Only"
38,8761,"NO_LESION",117,2022-11-21,"Trim Only"
38,8761,"NO_LESION",201,2023-02-13,"Trim Only"
38,8761,"NO_LESION",278,2023-05-01,"Trim Only"
38,8764,"NO_LESION",273,2022-11-28,"Trim Only"
38,8764,"LAME",116,2023-06-01,"DigitalDermatitis"
38,8764,"LAME",197,2023-08-21,"DigitalDermatitis"
38,8770,"LAME",221,2022-12-12,"WhiteLineDisease"
38,8770,"NO_LESION",392,2023-06-01,"Trim Only"
38,8787,"NO_LESION",102,2023-02-27,"Trim Only"
38,8787,"NO_LESION",200,2023-06-05,"Trim Only"
38,8787,"NO_LESION",305,2023-09-18,"Trim Only"
38,8795,"NO_LESION",129,2022-10-10,"Trim Only"
38,8795,"LAME",228,2023-01-17,"DigitalDermatitis"
38,8795,"LAME",290,2023-03-20,"DigitalDermatitis"
38,8795,"LAME",398,2023-07-06,"DigitalDermatitis"
38,8795,"LAME",465,2023-09-11,"DigitalDermatitis"
38,8796,"NO_LESION",313,2022-10-10,"Trim Only"
38,8796,"NO_LESION",105,2023-04-10,"Trim Only"
38,8796,"NO_LESION",203,2023-07-17,"Trim Only"
38,8796,"NO_LESION",294,2023-10-16,"Trim Only"
38,8798,"NO_LESION",316,2023-02-27,"Trim Only"
38,8801,"NO_LESION",116,2022-11-07,"Trim Only"
38,8801,"NO_LESION",312,2023-05-22,"Trim Only"
38,8801,"NO_LESION",445,2023-10-02,"Trim Only"
38,8806,"NO_LESION",212,2023-05-15,"Trim Only"
38,8806,"NO_LESION",282,2023-07-24,"Trim Only"
38,8807,"NO_LESION",112,2023-01-23,"Trim Only"
38,8809,"NO_LESION",278,2022-10-31,"Trim Only"
38,8809,"NO_LESION",100,2023-05-01,"Trim Only"
38,8809,"NO_LESION",212,2023-08-21,"Trim Only"
38,8809,"NO_LESION",275,2023-10-23,"Trim Only"
38,8811,"NO_LESION",293,2022-10-10,"Trim Only"
38,8811,"NO_LESION",87,2023-03-20,"Trim Only"
38,8811,"NO_LESION",206,2023-07-17,"Trim Only"
38,8811,"NO_LESION",269,2023-09-18,"Trim Only"
38,8816,"LAME",112,2023-02-20,"Hemorrhage"
38,8816,"NO_LESION",203,2023-05-22,"Trim Only"
38,8816,"NO_LESION",301,2023-08-28,"Trim Only"
38,8821,"NO_LESION",270,2023-01-23,"Trim Only"
38,8821,"NO_LESION",95,2023-07-17,"Trim Only"
38,8821,"NO_LESION",200,2023-10-30,"Trim Only"
38,8822,"NO_LESION",434,2023-01-23,"Trim Only"
38,8822,"NO_LESION",96,2023-07-06,"Trim Only"
38,8822,"NO_LESION",198,2023-10-16,"Trim Only"
38,8823,"NO_LESION",281,2022-10-31,"Trim Only"
38,8823,"NO_LESION",90,2023-03-20,"Trim Only"
38,8823,"NO_LESION",198,2023-07-06,"Trim Only"
38,8833,"NO_LESION",96,2023-03-06,"Trim Only"
38,8836,"NO_LESION",280,2022-10-31,"Trim Only"
38,8836,"NO_LESION",109,2023-05-01,"Trim Only"
38,8836,"NO_LESION",207,2023-08-07,"Trim Only"
38,8836,"NO_LESION",277,2023-10-16,"Trim Only"
38,8845,"NO_LESION",284,2022-11-21,"Trim Only"
38,8845,"NO_LESION",110,2023-06-01,"Trim Only"
38,8845,"NO_LESION",212,2023-09-11,"Trim Only"
38,8851,"NO_LESION",282,2022-10-10,"Trim Only"
38,8853,"NO_LESION",278,2023-01-02,"Trim Only"
38,8853,"NO_LESION",86,2023-06-12,"Trim Only"
38,8853,"NO_LESION",198,2023-10-02,"Trim Only"
38,8855,"NO_LESION",93,2023-02-13,"Trim Only"
38,8855,"NO_LESION",205,2023-06-05,"Trim Only"
38,8855,"NO_LESION",282,2023-08-21,"Trim Only"
38,8857,"NO_LESION",316,2023-01-02,"Trim Only"
38,8857,"NO_LESION",96,2023-07-06,"Trim Only"
38,8857,"NO_LESION",198,2023-10-16,"Trim Only"
38,8866,"NO_LESION",268,2022-10-31,"Trim Only"
38,8866,"NO_LESION",211,2023-08-21,"Trim Only"
38,8869,"LAME",210,2023-05-15,"WhiteLineDisease"
38,8869,"NO_LESION",325,2023-09-07,"Trim Only"
38,8876,"NO_LESION",343,2022-12-12,"Trim Only"
