"Farm","cowid","Leave_Date"
38,11318,2022-10-05
38,11319,2023-10-02
38,11337,2023-02-02
38,11354,2023-09-19
38,11360,2023-03-29
38,11361,2022-11-16
38,11363,2022-11-16
38,11374,2022-11-29
38,11382,2022-11-16
38,11394,2023-04-30
38,11395,2022-11-09
38,11401,2023-04-30
38,11402,2022-12-02
38,11408,2022-12-26
38,11410,2023-10-03
38,11411,2022-11-09
38,11419,2023-04-05
38,11421,2023-04-30
38,11426,2022-12-26
38,11427,2023-05-12
38,11430,2023-01-19
38,11432,2022-11-09
38,11440,2022-11-09
38,11443,2023-02-15
38,11447,2022-10-20
38,11453,2022-11-09
38,11454,2022-11-09
38,11459,2023-03-07
38,11463,2023-02-02
38,11466,2022-11-09
38,11467,2022-11-09
38,11471,2023-02-16
38,11474,2023-01-31
38,11481,2023-05-17
38,11493,2022-11-09
38,11495,2022-11-09
38,11501,2022-11-28
38,11502,2022-12-21
38,11509,2023-06-06
38,11513,2023-01-11
38,11519,2022-11-09
38,11521,2022-11-09
38,11526,2023-03-31
38,11529,2023-07-25
38,11530,2022-11-09
38,11534,2022-12-07
38,11543,2023-02-11
38,11544,2023-01-23
38,11545,2023-04-05
38,11547,2022-10-24
38,11548,2023-09-19
38,11555,2022-12-07
38,11569,2023-01-31
38,11575,2022-11-09
38,11576,2023-06-06
38,11580,2022-11-09
38,11583,2022-11-21
38,11594,2023-03-23
38,11595,2023-04-14
38,11615,2023-03-23
38,11625,2023-03-22
38,11631,2022-12-05
38,11635,2022-11-09
38,11637,2022-12-26
38,11644,2023-08-24
38,11646,2023-03-07
38,11647,2022-11-09
38,11649,2023-04-05
38,11650,2023-04-15
38,11659,2022-11-09
38,11664,2022-12-07
38,11669,2022-11-09
38,11672,2023-04-05
38,11685,2023-05-11
38,11692,2023-03-29
38,11701,2023-03-22
38,11703,2023-05-11
38,11704,2023-06-15
38,11705,2023-01-31
38,11710,2023-04-05
38,11716,2023-05-08
38,11718,2022-11-09
38,11719,2023-04-10
38,11720,2023-03-07
38,11723,2022-11-09
38,11729,2022-11-09
38,11730,2023-06-20
38,11732,2023-03-07
38,11752,2023-02-20
38,11753,2023-05-08
38,11765,2023-03-22
38,11766,2023-11-07
38,11773,2022-10-26
38,11777,2023-03-22
38,11778,2023-06-26
38,11783,2023-04-05
38,11784,2023-04-19
38,11787,2023-04-20
38,11793,2023-09-06
38,11804,2023-06-20
38,11816,2023-04-05
38,11818,2023-07-09
38,11820,2023-06-20
38,11833,2023-04-05
38,11834,2023-05-24
38,11843,2023-07-04
38,11847,2023-04-05
38,11851,2022-10-28
38,11853,2023-04-05
38,11854,2023-08-16
38,11859,2023-06-20
38,11868,2023-08-03
38,11872,2022-11-02
38,11882,2023-11-07
38,11887,2023-09-19
38,11890,2023-04-05
38,11896,2023-04-05
38,11901,2023-05-31
38,11918,2023-07-04
38,11939,2022-11-01
38,11940,2023-06-26
38,11942,2023-07-04
38,11946,2023-08-03
38,11957,2023-04-20
38,11968,2023-04-20
38,11971,2023-04-20
38,11989,2023-09-17
38,11996,2022-10-25
38,11997,2023-07-04
38,12010,2023-07-04
38,12011,2023-10-03
38,12019,2023-10-03
38,12022,2023-06-20
38,12023,2023-09-06
38,12027,2023-10-19
38,12037,2023-11-01
38,12038,2023-11-07
38,12044,2023-09-06
38,12050,2023-11-07
38,12053,2023-04-20
38,12056,2023-11-01
38,12067,2023-04-20
38,12069,2023-11-01
38,12073,2023-02-01
38,12082,2023-11-01
38,12083,2023-04-20
38,12084,2022-11-21
38,12089,2023-11-01
38,12092,2023-09-06
38,12096,2023-11-01
38,12105,2023-10-03
38,12112,2023-08-03
38,12119,2023-09-06
38,12122,2023-11-01
38,12130,2023-11-01
38,12137,2023-09-06
38,12144,2023-08-28
38,12145,2023-11-01
38,12156,2023-10-03
38,12182,2023-02-02
38,12197,2023-04-20
38,12200,2023-09-19
38,12209,2023-11-01
38,12211,2023-11-01
38,12226,2023-11-01
38,12232,2023-11-01
38,12236,2023-11-01
38,12273,2023-11-01
38,12280,2023-11-01
38,12287,2023-11-01
38,12299,2022-12-25
38,12310,2023-11-01
38,12323,2023-11-01
38,12332,2023-11-01
38,12337,2023-11-01
38,12342,2022-12-25
38,12343,2023-03-05
38,12376,2023-04-20
38,12394,2023-06-01
38,12395,2022-12-03
38,12414,2022-12-29
38,12415,2023-11-01
38,12420,2023-02-03
38,12430,2023-11-01
38,12435,2023-01-05
38,12449,2023-11-01
38,12455,2023-01-05
38,12461,2023-01-05
38,12482,2023-04-18
38,12496,2023-03-10
38,12498,2023-07-10
38,12504,2023-02-03
38,12547,2023-07-01
38,12548,2023-01-05
38,12557,2023-03-05
38,12565,2023-04-20
38,12591,2023-03-02
38,12596,2022-12-03
38,12605,2023-03-02
38,12609,2023-02-02
38,12618,2022-12-03
38,12625,2023-11-02
38,12630,2023-02-03
38,12632,2023-02-03
38,12640,2023-04-20
38,12660,2023-04-20
38,12662,2023-02-03
38,12666,2023-05-31
38,12668,2023-03-02
38,12686,2022-11-04
38,12692,2022-10-08
38,12695,2023-05-07
38,12699,2023-05-07
38,12723,2023-04-05
38,12724,2023-06-08
38,12725,2023-06-08
38,12736,2022-12-03
38,12737,2023-02-02
38,12743,2023-02-02
38,12761,2023-07-28
38,12770,2023-01-10
38,12779,2023-06-08
38,12787,2023-04-04
38,12790,2023-08-29
38,12795,2023-04-05
38,12798,2023-11-02
38,12805,2023-05-07
38,12808,2023-08-06
38,12816,2023-06-08
38,12819,2023-08-04
38,12822,2023-08-04
38,12824,2023-02-17
38,12830,2023-08-06
38,12838,2023-09-07
38,12843,2023-10-19
38,12854,2023-01-01
38,12864,2023-06-08
38,12869,2023-08-06
38,12879,2023-08-06
38,12881,2023-08-06
38,12883,2023-08-04
38,12885,2023-09-11
38,12888,2023-02-17
38,12905,2023-06-08
38,12907,2023-08-04
38,12913,2023-08-06
38,12916,2023-08-04
38,12929,2023-04-04
38,12933,2023-05-07
38,12936,2023-11-03
38,12937,2023-10-09
38,12944,2023-04-04
38,12945,2023-08-04
38,12962,2023-06-05
38,12963,2023-06-08
38,12964,2023-08-04
38,12967,2023-08-04
38,13007,2023-09-05
38,13013,2023-08-04
38,13014,2023-05-07
38,13033,2023-11-02
38,13062,2023-04-23
38,13064,2023-10-02
38,13068,2023-09-05
38,13070,2023-10-02
38,13072,2023-09-05
38,13087,2023-10-02
38,13093,2023-07-01
38,13094,2023-10-02
38,13129,2023-09-05
38,13158,2023-06-17
38,13163,2023-08-04
38,13206,2023-08-04
38,13218,2023-09-05
38,13241,2023-08-04
38,13244,2023-07-29
38,13246,2023-08-06
38,13256,2023-08-05
38,13284,2023-09-05
38,13291,2023-08-31
38,13358,2023-11-07
38,13378,2023-11-07
38,13391,2023-11-07
38,13395,2023-11-07
38,13396,2023-10-15
38,13404,2023-11-02
409,2,2023-03-05
409,5,2023-04-28
409,6,2023-03-27
409,11,2023-02-05
409,21,2023-10-11
409,22,2022-11-16
409,27,2023-07-09
409,43,2023-07-09
409,49,2023-07-17
409,50,2022-12-02
409,51,2023-05-08
409,52,2023-03-31
409,57,2023-09-08
409,60,2023-08-27
409,62,2022-11-16
409,65,2023-03-09
409,68,2023-06-27
409,70,2023-07-17
409,79,2023-03-24
409,83,2023-07-24
409,85,2023-09-08
409,88,2023-04-21
409,104,2023-09-08
409,106,2023-08-30
409,109,2023-04-16
409,110,2023-08-20
409,117,2023-09-30
409,120,2023-07-07
409,125,2023-05-29
409,127,2023-08-20
409,129,2023-03-03
409,133,2023-04-09
409,134,2023-08-06
409,136,2023-06-04
409,137,2023-05-04
409,139,2023-07-28
409,141,2023-07-19
409,151,2023-05-11
409,153,2023-04-07
409,156,2022-10-24
409,161,2023-03-27
409,164,2023-08-27
409,170,2023-09-20
409,190,2022-12-05
409,197,2023-02-07
409,205,2023-04-09
409,213,2022-11-16
409,221,2023-10-23
409,223,2023-01-22
409,232,2023-03-09
409,237,2023-06-25
409,242,2023-01-11
409,243,2023-09-27
409,253,2022-10-06
409,254,2023-01-22
409,260,2022-11-16
409,269,2023-01-22
409,283,2023-03-13
409,289,2023-10-31
409,301,2023-08-23
409,302,2023-08-23
409,305,2022-12-27
409,311,2023-06-25
409,314,2023-02-24
409,319,2023-02-22
409,330,2023-07-16
409,336,2023-10-07
409,342,2023-10-07
409,344,2023-10-07
409,356,2023-10-07
409,357,2023-10-07
409,361,2022-10-06
409,364,2023-10-07
409,368,2023-10-07
409,369,2023-10-07
409,374,2023-10-07
409,375,2023-10-07
409,380,2023-10-07
409,386,2023-10-07
409,387,2023-10-07
409,390,2023-07-16
409,391,2023-10-07
409,392,2023-10-07
409,394,2023-10-07
409,396,2023-10-07
409,398,2023-10-07
409,399,2023-10-07
409,400,2023-10-07
409,401,2023-01-23
409,402,2023-10-07
409,404,2023-10-07
409,406,2023-10-22
409,407,2023-10-07
409,409,2023-10-07
409,411,2023-10-07
409,413,2023-10-07
409,417,2023-10-07
409,418,2023-10-07
409,419,2023-10-07
409,420,2023-09-20
409,422,2023-10-07
409,423,2022-10-06
409,424,2023-10-07
409,425,2023-02-01
409,438,2023-08-18
409,447,2023-08-14
409,450,2023-04-09
409,460,2023-02-05
409,467,2023-10-10
409,480,2023-10-22
409,481,2023-07-21
409,486,2022-10-19
409,521,2023-01-22
409,522,2023-03-27
409,523,2023-01-21
409,529,2022-12-28
409,532,2023-08-06
409,590,2022-10-26
409,592,2023-03-09
409,601,2023-04-16
409,610,2023-07-13
409,618,2023-06-04
409,622,2023-06-04
409,623,2023-01-02
409,624,2023-06-30
409,641,2023-10-18
409,646,2023-08-27
409,648,2023-04-21
409,656,2023-04-10
409,674,2023-06-19
409,683,2023-08-01
409,686,2023-06-04
409,693,2023-03-09
409,703,2022-10-07
409,711,2023-07-14
409,730,2023-02-01
409,735,2023-02-10
409,755,2023-08-24
409,766,2023-11-03
409,792,2023-10-22
409,793,2023-01-22
409,826,2023-05-29
409,828,2023-02-10
409,830,2023-04-10
409,855,2023-08-01
409,864,2022-10-17
409,870,2023-03-01
409,945,2023-05-21
409,966,2022-11-04
409,1006,2023-06-07
409,1011,2023-03-17
409,1044,2022-10-07
409,1055,2023-08-11
409,1057,2022-10-07
409,1058,2023-10-11
409,1074,2023-01-18
409,1080,2022-10-21
409,1082,2022-12-27
409,1086,2023-04-19
409,1097,2022-10-05
409,1098,2022-10-06
409,1118,2023-04-24
409,1154,2023-09-29
409,1196,2022-11-16
409,1208,2022-11-11
409,1214,2023-05-11
409,1220,2023-11-05
409,1226,2023-08-02
409,1231,2023-08-20
409,1233,2023-08-20
409,1246,2022-10-17
409,1252,2023-04-03
409,1264,2023-04-17
409,1269,2023-06-05
409,1274,2022-10-11
409,1278,2023-06-18
409,1287,2023-01-25
409,1299,2023-02-21
409,1309,2023-07-16
409,1320,2023-02-05
409,1321,2022-11-16
409,1339,2023-06-21
409,1379,2023-08-23
409,1381,2022-11-30
409,1386,2023-01-15
409,1392,2023-09-13
409,1395,2023-08-27
409,1408,2022-10-06
409,1410,2022-10-06
409,1412,2022-10-06
409,1413,2022-10-06
409,1414,2022-10-06
409,1416,2022-10-06
409,1417,2022-10-06
409,1418,2022-10-06
409,1419,2022-10-06
409,1420,2022-10-06
409,1421,2022-10-06
409,1422,2022-11-26
409,1423,2022-10-06
409,1424,2022-10-08
409,1425,2022-10-08
409,1426,2022-10-08
409,1427,2022-10-08
409,1428,2022-10-08
409,1430,2022-10-08
409,1431,2022-10-08
409,1432,2022-10-08
409,1433,2022-10-08
409,1434,2022-10-08
409,1435,2022-12-09
409,1436,2022-10-08
409,1437,2022-10-13
409,1441,2022-10-13
409,1442,2022-10-13
409,1443,2022-10-13
409,1444,2022-10-13
409,1447,2022-10-13
409,1448,2023-04-23
409,1449,2022-10-13
409,1450,2022-10-13
409,1451,2022-10-13
409,1452,2022-10-13
409,1453,2022-10-13
409,1454,2022-10-13
409,1455,2022-10-17
409,1456,2023-02-03
409,1457,2022-10-17
409,1458,2022-10-17
409,1459,2022-10-17
409,1460,2022-10-17
409,1462,2022-10-17
409,1464,2023-05-21
409,1465,2022-10-19
409,1466,2022-10-19
409,1467,2022-10-19
409,1468,2022-10-19
409,1469,2022-10-19
409,1470,2022-10-22
409,1471,2022-10-20
409,1472,2022-10-20
409,1474,2022-10-20
409,1475,2022-10-20
409,1477,2022-10-22
409,1478,2022-12-07
409,1479,2022-10-22
409,1482,2022-10-24
409,1483,2022-10-24
409,1484,2022-10-24
409,1486,2022-10-26
409,1487,2022-10-26
409,1488,2022-10-26
409,1489,2022-10-26
409,1490,2022-10-26
409,1491,2022-10-26
409,1493,2022-10-26
409,1495,2022-10-26
409,1497,2023-08-20
409,1498,2023-02-01
409,1499,2022-10-26
409,1500,2022-10-26
409,1501,2022-10-31
409,1502,2022-10-31
409,1504,2022-11-05
409,1505,2023-03-05
409,1506,2022-11-01
409,1507,2022-11-05
409,1508,2022-11-05
409,1509,2022-11-05
409,1510,2022-11-05
409,1511,2022-11-05
409,1512,2023-03-05
409,1513,2022-11-05
409,1514,2022-11-05
409,1515,2022-11-05
409,1516,2022-11-05
409,1517,2023-03-13
409,1518,2022-11-05
409,1519,2022-11-05
409,1520,2022-11-05
409,1521,2022-11-05
409,1522,2022-11-07
409,1523,2022-11-07
409,1524,2022-10-12
409,1525,2022-11-07
409,1526,2022-11-07
409,1527,2022-11-07
409,1528,2022-11-07
409,1529,2022-11-07
409,1530,2022-11-07
409,1531,2022-11-09
409,1532,2022-11-09
409,1533,2022-11-09
409,1534,2022-11-09
409,1536,2022-11-09
409,1538,2022-11-09
409,1539,2022-11-09
409,1540,2022-11-09
409,1541,2022-11-09
409,1542,2022-11-12
409,1543,2022-11-12
409,1544,2023-03-09
409,1545,2022-11-12
409,1546,2022-11-12
409,1547,2022-11-12
409,1548,2023-08-06
409,1549,2023-08-07
409,1550,2023-02-05
409,1551,2022-11-12
409,1552,2022-11-12
409,1554,2022-11-12
409,1555,2022-11-12
409,1556,2022-11-12
409,1557,2022-11-12
409,1558,2022-11-12
409,1559,2022-11-12
409,1561,2022-11-12
409,1562,2022-11-14
409,1564,2023-07-16
409,1565,2022-11-14
409,1566,2022-11-14
409,1567,2023-02-13
409,1568,2022-11-14
409,1569,2022-11-14
409,1570,2022-11-14
409,1571,2023-08-06
409,1573,2022-11-14
409,1574,2022-11-19
409,1575,2023-04-13
409,1576,2022-11-19
409,1577,2022-11-19
409,1578,2022-11-19
409,1579,2023-03-03
409,1581,2022-11-19
409,1582,2022-11-19
409,1583,2022-11-19
409,1584,2022-11-19
409,1585,2022-11-19
409,1587,2022-11-19
409,1589,2022-11-23
409,1590,2022-11-23
409,1593,2022-11-23
409,1595,2022-11-23
409,1597,2022-11-23
409,1598,2022-11-23
409,1599,2022-11-23
409,1600,2022-11-23
409,1602,2022-11-09
409,1604,2022-11-23
409,1605,2022-11-23
409,1606,2022-11-23
409,1607,2022-11-23
409,1608,2022-11-23
409,1610,2022-10-06
409,1611,2022-11-23
409,1612,2022-11-23
409,1613,2022-11-23
409,1615,2022-11-23
409,1616,2022-11-28
409,1617,2022-11-28
409,1618,2022-11-28
409,1619,2022-11-28
409,1621,2022-11-28
409,1623,2022-11-28
409,1624,2022-11-28
409,1625,2022-11-28
409,1626,2022-11-28
409,1627,2023-07-05
409,1628,2022-11-28
409,1629,2022-11-28
409,1630,2022-11-28
409,1631,2022-11-28
409,1632,2022-12-03
409,1633,2022-12-03
409,1634,2022-12-03
409,1635,2023-05-08
409,1636,2022-12-03
409,1638,2022-12-03
409,1639,2022-12-03
409,1640,2022-12-06
409,1642,2022-12-06
409,1643,2022-12-12
409,1645,2022-12-12
409,1647,2022-12-12
409,1648,2022-12-12
409,1649,2022-12-12
409,1650,2022-12-12
409,1651,2022-12-12
409,1652,2022-12-12
409,1653,2022-12-12
409,1654,2022-12-12
409,1655,2022-12-12
409,1656,2022-12-12
